26;Real Sociedad;Granada;1;0;
26;Sporting Gijon;Burgos;1;2;
27;At. Madrid;Castellon;1;0;
27;Barcelona;Celta;2;0;
27;Burgos;Betis;2;1;
27;Dptivo. Corugna;Ath. Bilbao;2;1;
27;Granada;Malaga (C.D.);2;0;
27;Las Palmas;Sporting Gijon;1;1;
27;Oviedo;Real Madrid;1;2;
27;Valencia;Espanyol;1;0;
27;Zaragoza;Real Sociedad;1;1;
28;Ath. Bilbao;Valencia;2;0;
28;Castellon;Barcelona;4;0;
28;Celta;Granada;0;0;
28;Espanyol;Oviedo;3;0;
28;Las Palmas;Burgos;4;1;
28;Malaga (C.D.);Zaragoza;2;1;
28;Real Madrid;Betis;1;1;
28;Real Sociedad;Dptivo. Corugna;2;0;
28;Sporting Gijon;At. Madrid;2;3;
29;At. Madrid;Las Palmas;2;1;
29;Barcelona;Sporting Gijon;3;1;
29;Betis;Espanyol;2;2;
29;Burgos;Real Madrid;2;3;
29;Dptivo. Corugna;Malaga (C.D.);1;0;
29;Granada;Castellon;1;1;
29;Oviedo;Ath. Bilbao;2;1;
29;Valencia;Real Sociedad;1;0;
29;Zaragoza;Celta;2;2;
30;At. Madrid;Burgos;4;2;
30;Ath. Bilbao;Betis;1;1;
30;Castellon;Zaragoza;1;1;
30;Celta;Dptivo. Corugna;1;0;
30;Espanyol;Real Madrid;1;0;
30;Las Palmas;Barcelona;2;1;
30;Malaga (C.D.);Valencia;1;1;
30;Real Sociedad;Oviedo;1;2;
30;Sporting Gijon;Granada;2;0;
31;Barcelona;At. Madrid;0;0;
31;Betis;Real Sociedad;1;1;
31;Burgos;Espanyol;1;1;
31;Dptivo. Corugna;Castellon;1;1;
31;Granada;Las Palmas;1;0;
31;Oviedo;Malaga (C.D.);0;0;
31;Real Madrid;Ath. Bilbao;3;3;
31;Valencia;Celta;1;0;
31;Zaragoza;Sporting Gijon;3;1;
32;At. Madrid;Granada;2;1;
32;Ath. Bilbao;Espanyol;1;0;
